# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the scientific
# community in the belief that their wide dissemination will lead to
# greater understanding and new scientific insights. To ensure that GML
# receives fair credit for their work please include relevant citation
# text in publications. We encourage users to contact the data providers,
# who can provide detailed information about the measurements and
# scientific insight.  In cases where the data are central to a
# publication, coauthorship for data providers may be appropriate.
#
#
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Wed Jun  5 04:05:21 2024
#
#
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
#
# Uncertainties in the global monthly means are estimated using two
# terms: The first is a bootstrap (resampling) method that varies the
# sites in our network. Each pseudo-network contains the same number of
# sites as our actual NOAA ESRL cooperative global air sampling network,
# but some are repeated and some are excluded. The second term is a
# Monte Carlo method that randomly modifies the data to account for
# measurement uncertainty. In both cases, 100 globally-averaged time
# series are created. Standard deviations of the monthly means are
# calculated, and the two terms (network and analytical) are taken in
# quadrature to give the  reported uncertainties. A default value (-9.9)
# indicates the uncertainty has not yet been calculated for that month.
# Please see Dlugokencky et al., 1994, JGR, vol. 99, 17021-17043, for a
# complete discussion.
#
# CH4 expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
year,month,decimal,average,average_unc,trend,trend_unc
2001,1,2001.042,1772.87,0.93,1771.85,0.68
2001,2,2001.125,1772.49,0.94,1771.65,0.67
2001,3,2001.208,1773.64,0.94,1771.47,0.65
2001,4,2001.292,1773.85,0.69,1771.31,0.64
2001,5,2001.375,1770.74,0.83,1771.19,0.63
2001,6,2001.458,1765.84,0.98,1771.09,0.61
2001,7,2001.542,1762.73,1.03,1771.03,0.60
2001,8,2001.625,1764.30,0.98,1771.00,0.59
2001,9,2001.708,1770.39,0.87,1771.01,0.57
2001,10,2001.792,1775.50,0.75,1771.04,0.56
2001,11,2001.875,1776.55,0.87,1771.10,0.54
2001,12,2001.958,1775.90,1.18,1771.18,0.52
2002,1,2002.042,1774.09,1.29,1771.29,0.51
2002,2,2002.125,1772.82,1.04,1771.40,0.51
2002,3,2002.208,1773.40,0.64,1771.54,0.51
2002,4,2002.292,1772.75,0.69,1771.70,0.52
2002,5,2002.375,1770.32,0.70,1771.89,0.53
2002,6,2002.458,1766.90,0.82,1772.10,0.55
2002,7,2002.542,1764.21,0.91,1772.35,0.57
2002,8,2002.625,1766.86,1.01,1772.64,0.59
2002,9,2002.708,1773.67,0.97,1772.97,0.61
2002,10,2002.792,1778.25,1.27,1773.34,0.61
2002,11,2002.875,1779.51,1.17,1773.76,0.61
2002,12,2002.958,1779.65,0.85,1774.23,0.60
2003,1,2003.042,1777.53,1.03,1774.74,0.58
2003,2,2003.125,1774.83,1.01,1775.27,0.56
2003,3,2003.208,1774.85,0.91,1775.82,0.54
2003,4,2003.292,1775.80,1.48,1776.40,0.52
2003,5,2003.375,1774.46,1.28,1776.97,0.50
2003,6,2003.458,1771.68,1.13,1777.52,0.49
2003,7,2003.542,1770.69,1.68,1778.02,0.48
2003,8,2003.625,1774.31,1.46,1778.48,0.48
2003,9,2003.708,1780.56,0.93,1778.84,0.48
2003,10,2003.792,1784.68,0.80,1779.11,0.49
2003,11,2003.875,1785.28,0.99,1779.28,0.49
2003,12,2003.958,1783.57,0.97,1779.33,0.50
2004,1,2004.042,1780.91,0.93,1779.26,0.50
2004,2,2004.125,1779.98,0.89,1779.08,0.50
2004,3,2004.208,1780.98,0.80,1778.79,0.50
2004,4,2004.292,1780.70,0.87,1778.42,0.50
2004,5,2004.375,1777.58,1.04,1777.96,0.50
2004,6,2004.458,1772.28,1.11,1777.45,0.51
2004,7,2004.542,1767.98,0.83,1776.92,0.52
2004,8,2004.625,1769.74,0.92,1776.37,0.53
2004,9,2004.708,1775.48,1.02,1775.85,0.54
2004,10,2004.792,1779.68,0.83,1775.36,0.55
2004,11,2004.875,1780.48,0.99,1774.94,0.56
2004,12,2004.958,1778.37,0.94,1774.60,0.56
2005,1,2005.042,1776.32,1.12,1774.33,0.57
2005,2,2005.125,1775.80,0.94,1774.16,0.58
2005,3,2005.208,1775.42,1.01,1774.07,0.59
2005,4,2005.292,1774.55,0.90,1774.05,0.61
2005,5,2005.375,1772.24,0.76,1774.09,0.62
2005,6,2005.458,1768.55,1.04,1774.18,0.64
2005,7,2005.542,1766.24,0.90,1774.29,0.65
2005,8,2005.625,1768.05,1.06,1774.43,0.66
2005,9,2005.708,1773.10,1.22,1774.55,0.67
2005,10,2005.792,1778.47,1.27,1774.66,0.66
2005,11,2005.875,1781.22,0.94,1774.74,0.65
2005,12,2005.958,1780.27,1.32,1774.78,0.64
2006,1,2006.042,1779.54,0.98,1774.79,0.62
2006,2,2006.125,1779.48,1.01,1774.78,0.60
2006,3,2006.208,1777.37,0.80,1774.75,0.58
2006,4,2006.292,1776.13,0.62,1774.72,0.57
2006,5,2006.375,1774.99,1.03,1774.71,0.55
2006,6,2006.458,1769.30,1.39,1774.73,0.55
2006,7,2006.542,1764.16,1.25,1774.81,0.55
2006,8,2006.625,1767.22,1.26,1774.96,0.55
2006,9,2006.708,1774.55,1.24,1775.19,0.56
2006,10,2006.792,1778.22,0.83,1775.50,0.56
2006,11,2006.875,1779.07,0.81,1775.91,0.57
2006,12,2006.958,1779.94,0.85,1776.41,0.57
2007,1,2007.042,1779.16,1.03,1777.00,0.58
2007,2,2007.125,1778.58,1.08,1777.62,0.58
2007,3,2007.208,1780.28,0.90,1778.29,0.59
2007,4,2007.292,1781.11,0.96,1779.01,0.60
2007,5,2007.375,1779.45,1.27,1779.75,0.61
2007,6,2007.458,1775.60,1.11,1780.48,0.62
2007,7,2007.542,1772.59,1.11,1781.20,0.64
2007,8,2007.625,1777.21,1.42,1781.90,0.65
2007,9,2007.708,1785.88,1.43,1782.55,0.66
2007,10,2007.792,1789.84,1.06,1783.16,0.68
2007,11,2007.875,1789.52,1.02,1783.74,0.69
2007,12,2007.958,1788.19,1.27,1784.28,0.71
2008,1,2008.042,1786.70,1.39,1784.81,0.72
2008,2,2008.125,1785.80,1.22,1785.30,0.73
2008,3,2008.208,1786.17,1.24,1785.79,0.74
2008,4,2008.292,1786.90,1.01,1786.29,0.74
2008,5,2008.375,1785.24,0.96,1786.81,0.74
2008,6,2008.458,1780.48,0.88,1787.34,0.73
2008,7,2008.542,1777.62,0.91,1787.89,0.72
2008,8,2008.625,1781.06,1.06,1788.46,0.70
2008,9,2008.708,1787.66,1.06,1789.04,0.68
2008,10,2008.792,1793.66,0.90,1789.62,0.66
2008,11,2008.875,1797.32,1.49,1790.21,0.64
2008,12,2008.958,1796.61,1.47,1790.77,0.62
2009,1,2009.042,1795.06,1.04,1791.33,0.61
2009,2,2009.125,1795.60,1.20,1791.84,0.60
2009,3,2009.208,1795.97,1.13,1792.31,0.61
2009,4,2009.292,1795.55,0.83,1792.77,0.62
2009,5,2009.375,1792.36,0.74,1793.19,0.64
2009,6,2009.458,1786.91,0.79,1793.58,0.66
2009,7,2009.542,1784.95,1.05,1793.94,0.68
2009,8,2009.625,1788.84,0.97,1794.28,0.69
2009,9,2009.708,1794.82,1.23,1794.61,0.70
2009,10,2009.792,1798.03,1.28,1794.93,0.71
2009,11,2009.875,1797.91,0.76,1795.25,0.71
2009,12,2009.958,1796.70,1.05,1795.59,0.71
2010,1,2010.042,1797.12,1.34,1795.94,0.70
2010,2,2010.125,1798.78,1.20,1796.30,0.69
2010,3,2010.208,1799.46,1.09,1796.68,0.68
2010,4,2010.292,1799.64,0.98,1797.10,0.68
2010,5,2010.375,1797.74,1.24,1797.53,0.68
2010,6,2010.458,1792.55,1.30,1797.98,0.68
2010,7,2010.542,1789.45,0.98,1798.43,0.68
2010,8,2010.625,1794.11,1.18,1798.91,0.68
2010,9,2010.708,1801.86,1.25,1799.37,0.69
2010,10,2010.792,1806.55,1.08,1799.84,0.68
2010,11,2010.875,1807.05,1.03,1800.30,0.68
2010,12,2010.958,1803.63,1.15,1800.75,0.68
2011,1,2011.042,1800.47,1.19,1801.19,0.67
2011,2,2011.125,1800.18,0.95,1801.61,0.66
2011,3,2011.208,1800.97,0.68,1802.01,0.65
2011,4,2011.292,1802.89,0.80,1802.42,0.65
2011,5,2011.375,1803.33,0.88,1802.82,0.65
2011,6,2011.458,1799.15,0.81,1803.22,0.65
2011,7,2011.542,1796.18,1.04,1803.61,0.65
2011,8,2011.625,1799.06,1.00,1804.01,0.66
2011,9,2011.708,1804.07,1.53,1804.40,0.67
2011,10,2011.792,1809.58,1.57,1804.80,0.67
2011,11,2011.875,1812.41,1.22,1805.21,0.67
2011,12,2011.958,1810.02,1.07,1805.62,0.67
2012,1,2012.042,1807.30,1.06,1806.04,0.67
2012,2,2012.125,1808.24,1.29,1806.46,0.67
2012,3,2012.208,1809.94,0.84,1806.89,0.67
2012,4,2012.292,1808.39,0.63,1807.33,0.67
2012,5,2012.375,1804.71,1.21,1807.77,0.67
2012,6,2012.458,1800.92,1.27,1808.21,0.67
2012,7,2012.542,1799.26,1.21,1808.65,0.67
2012,8,2012.625,1803.23,0.97,1809.08,0.67
2012,9,2012.708,1810.10,1.08,1809.50,0.66
2012,10,2012.792,1814.73,0.98,1809.89,0.66
2012,11,2012.875,1815.87,1.23,1810.28,0.65
2012,12,2012.958,1814.58,0.96,1810.64,0.64
2013,1,2013.042,1814.06,0.99,1811.00,0.64
2013,2,2013.125,1814.14,1.44,1811.33,0.63
2013,3,2013.208,1813.25,1.07,1811.65,0.63
2013,4,2013.292,1812.82,0.66,1811.99,0.63
2013,5,2013.375,1811.97,0.95,1812.33,0.64
2013,6,2013.458,1808.57,1.31,1812.71,0.64
2013,7,2013.542,1805.76,1.60,1813.12,0.63
2013,8,2013.625,1808.41,1.10,1813.58,0.63
2013,9,2013.708,1814.33,0.90,1814.10,0.63
2013,10,2013.792,1818.58,0.74,1814.69,0.62
2013,11,2013.875,1820.36,0.75,1815.36,0.61
2013,12,2013.958,1819.33,0.96,1816.11,0.60
2014,1,2014.042,1816.83,1.04,1816.96,0.60
2014,2,2014.125,1816.40,1.36,1817.83,0.59
2014,3,2014.208,1818.14,1.32,1818.78,0.58
2014,4,2014.292,1820.89,0.75,1819.82,0.58
2014,5,2014.375,1821.92,0.82,1820.91,0.58
2014,6,2014.458,1818.33,0.81,1822.03,0.57
2014,7,2014.542,1815.52,1.10,1823.18,0.57
2014,8,2014.625,1819.73,1.17,1824.34,0.56
2014,9,2014.708,1826.87,1.07,1825.48,0.56
2014,10,2014.792,1831.21,0.59,1826.60,0.55
2014,11,2014.875,1833.07,0.69,1827.69,0.54
2014,12,2014.958,1833.51,1.08,1828.75,0.54
2015,1,2015.042,1832.89,1.15,1829.78,0.53
2015,2,2015.125,1832.75,0.99,1830.72,0.52
2015,3,2015.208,1833.09,0.74,1831.62,0.52
2015,4,2015.292,1833.24,0.97,1832.52,0.52
2015,5,2015.375,1831.82,1.04,1833.39,0.52
2015,6,2015.458,1827.34,0.84,1834.23,0.53
2015,7,2015.542,1824.77,0.98,1835.05,0.54
2015,8,2015.625,1829.22,1.07,1835.87,0.55
2015,9,2015.708,1836.29,0.95,1836.65,0.57
2015,10,2015.792,1841.51,0.81,1837.43,0.59
2015,11,2015.875,1844.75,1.04,1838.19,0.61
2015,12,2015.958,1844.88,1.25,1838.94,0.63
2016,1,2016.042,1842.44,0.91,1839.68,0.66
2016,2,2016.125,1841.64,1.18,1840.38,0.68
2016,3,2016.208,1843.01,0.92,1841.05,0.69
2016,4,2016.292,1843.74,0.83,1841.72,0.70
2016,5,2016.375,1842.14,1.08,1842.35,0.71
2016,6,2016.458,1837.83,1.20,1842.96,0.71
2016,7,2016.542,1834.15,1.17,1843.53,0.71
2016,8,2016.625,1836.71,1.28,1844.10,0.70
2016,9,2016.708,1844.19,1.34,1844.62,0.68
2016,10,2016.792,1849.86,1.17,1845.13,0.66
2016,11,2016.875,1851.44,1.28,1845.63,0.64
2016,12,2016.958,1851.08,1.09,1846.12,0.62
2017,1,2017.042,1849.80,0.99,1846.61,0.60
2017,2,2017.125,1848.56,1.23,1847.09,0.59
2017,3,2017.208,1848.31,1.38,1847.57,0.58
2017,4,2017.292,1848.61,1.16,1848.08,0.58
2017,5,2017.375,1847.20,0.89,1848.61,0.59
2017,6,2017.458,1842.95,0.91,1849.16,0.61
2017,7,2017.542,1840.38,1.40,1849.72,0.62
2017,8,2017.625,1844.67,1.30,1850.33,0.64
2017,9,2017.708,1852.79,1.00,1850.94,0.66
2017,10,2017.792,1858.08,1.07,1851.58,0.68
2017,11,2017.875,1858.70,0.95,1852.23,0.70
2017,12,2017.958,1856.65,1.06,1852.91,0.71
2018,1,2018.042,1854.44,1.10,1853.62,0.73
2018,2,2018.125,1854.97,0.98,1854.30,0.74
2018,3,2018.208,1856.87,1.06,1855.00,0.75
2018,4,2018.292,1856.68,1.13,1855.73,0.77
2018,5,2018.375,1854.82,1.49,1856.47,0.78
2018,6,2018.458,1852.01,1.51,1857.21,0.79
2018,7,2018.542,1849.08,1.67,1857.95,0.80
2018,8,2018.625,1851.94,1.79,1858.70,0.81
2018,9,2018.708,1860.49,0.95,1859.44,0.81
2018,10,2018.792,1865.74,1.00,1860.16,0.81
2018,11,2018.875,1866.26,1.08,1860.89,0.80
2018,12,2018.958,1866.03,1.01,1861.60,0.79
2019,1,2019.042,1864.98,1.02,1862.32,0.77
2019,2,2019.125,1865.03,0.74,1863.01,0.74
2019,3,2019.208,1866.32,0.80,1863.69,0.72
2019,4,2019.292,1865.32,0.69,1864.41,0.69
2019,5,2019.375,1861.99,1.14,1865.13,0.65
2019,6,2019.458,1858.78,1.28,1865.88,0.61
2019,7,2019.542,1858.22,1.46,1866.65,0.58
2019,8,2019.625,1862.90,1.48,1867.47,0.55
2019,9,2019.708,1870.78,1.10,1868.31,0.53
2019,10,2019.792,1875.38,1.11,1869.20,0.51
2019,11,2019.875,1875.56,1.14,1870.13,0.51
2019,12,2019.958,1874.68,0.85,1871.11,0.51
2020,1,2020.042,1873.15,1.12,1872.16,0.52
2020,2,2020.125,1872.74,1.02,1873.22,0.53
2020,3,2020.208,1874.76,0.75,1874.32,0.54
2020,4,2020.292,1875.87,1.13,1875.49,0.55
2020,5,2020.375,1874.32,1.08,1876.70,0.55
2020,6,2020.458,1871.86,1.05,1877.95,0.56
2020,7,2020.542,1871.48,1.22,1879.23,0.55
2020,8,2020.625,1876.54,1.19,1880.57,0.55
